,,,,,,,,,,,,
회사명,종목코드,사업연도,결산월,업종,업종별,주식배당,현금배당,,,,,
,,,,,배당율,(배당기준일),액면가,기말주식수,주당배당금,배당성향,총배당금액,시가배당률
SK렌터카,068400,2021,12,서비스업,0.43,-,500,"47,285,840",-,-,-,-
SK바이오사이언스,302440,2021,12,의약품,0.12,-,500,"76,500,000",-,-,-,-
SK스퀘어,402340,2021,12,금융업,2.61,-,100,"141,467,571",-,-,-,-
SK시그넷,260870,2021,12,-,-,-,500,"5,584,551",-,-,-,-
SK아이이테크놀로지,361610,2021,12,전기전자,2.7,-,"1,000","71,297,592",-,-,-,-
SK이노베이션,096770,2021,12,화학,1.1,-,"5,000","92,465,564","2,508",42.092,"210,883,892,420",1.140
SK증권,001510,2021,12,증권,3.64,-,500,"472,590,171",15,15.268,"6,326,004,170",1.480
SK케미칼,285130,2021,12,화학,1.1,-,"5,000","17,620,780","3,000",21.868,"58,770,021,800",2.000
SK텔레콤,017670,2021,12,통신업,4.59,-,100,"218,833,144","3,295",29.640,"716,989,587,320",5.300
SK하이닉스,000660,2021,12,전기전자,2.7,-,"5,000","728,002,365","1,540",11.012,"1,058,935,836,420",1.200
SM C&C,048550,2021,12,방송서비스,0.89,-,500,"95,516,120",-,-,-,-
SM Life Design,063440,2021,12,출판·매체복제,0.32,-,500,"45,429,154",-,-,-,-
SNT모티브,064960,2021,12,운수장비,1.02,-,"5,000","14,623,136","1,600",27.777,"22,254,972,800",3.400
SNT에너지,100840,2021,12,기계,0.76,-,500,"7,506,711",800,41.481,"5,186,424,000",4.300
SNT중공업,003570,2021,12,운수장비,1.02,-,"2,500","33,252,697",400,15.135,"8,929,433,700",4.500
SNT홀딩스,036530,2021,12,금융업,2.61,-,500,"16,303,886",700,6.667,"10,121,763,400",4.000
SPC삼립,005610,2021,12,음식료품,1.34,-,"5,000","8,629,009","1,500",22.196,"8,983,094,500",2.100
STX,011810,2021,12,유통업,1.59,-,"2,500","28,621,454",-,-,-,-
STX엔진,077970,2021,12,기계,0.76,-,"2,500","23,008,904",-,-,-,-
STX중공업,071970,2021,12,기계,0.76,-,"2,500","28,365,976",-,-,-,-
SUN&L,002820,2021,12,종이목재,1.49,-,"1,000","12,607,989",80,-2.734,"965,056,320",1.600
SV인베스트먼트,289080,2021,03,금융,0.78,-,500,"53,234,000",50,30.015,"2,661,700,000",1.080
TCC스틸,002710,2021,12,철강금속,2.09,-,"1,000","23,500,000",150,12.112,"3,479,073,150",1.790
THE E&M,089230,2021,12,인터넷,0.89,-,100,"173,450,191",-,-,-,-
THE MIDONG,161570,2021,12,정보기기,0.73,-,500,"15,582,830",-,-,-,-
THQ,192410,2021,12,통신장비,0.28,-,500,"28,929,899",-,-,-,-
TJ미디어,032540,2021,12,일반전기전자,0.23,-,500,"13,931,609",60,26.040,"835,896,540",1.200
TKG애강,022220,2021,12,화학,0.41,-,500,"51,794,579",-,-,-,-
TPC,048770,2021,12,기계·장비,0.53,-,500,"14,773,572",35,25.272,"517,075,020",0.900
TS인베스트먼트,246690,2021,12,금융,1.34,-,500,"39,125,879",10,3.855,"391,216,710",0.380
TS트릴리온,317240,2021,12,화학,0.41,-,100,"92,679,035",-,-,-,-
TYM,002900,2021,12,기계,0.76,-,500,"151,529,572",20,7.393,"2,920,400,820",1.100
UCI,038340,2021,12,기타서비스,0.5,-,500,"12,465,789",-,-,-,-
WI,073570,2021,12,기타제조,0.64,-,100,"80,904,873",-,-,-,-
WISCOM,024070,2021,12,화학,1.1,-,500,"15,326,438",50,63.228,"766,321,900",1.400
YBM넷,057030,2021,12,기타서비스,0.5,-,500,"16,312,697",100,63.493,"1,618,434,700",1.400
YG PLUS,037270,2021,12,서비스업,0.43,-,500,"63,429,410",-,-,-,-
YTN,040300,2021,12,방송서비스,0.89,-,"1,000","42,000,000",50,4.044,"2,100,000,000",1.700
YW,051390,2021,12,유통,0.36,-,500,"11,355,368",100,32.462,"861,206,800",2.400
iMBC,052220,2021,12,디지털컨텐츠,0.1,-,500,"23,000,000",-,-,-,-
가비아,079940,2021,12,인터넷,0.89,-,500,"13,535,684",70,3.685,"921,131,260",0.510
가온미디어,078890,2021,12,통신장비,0.28,0.02 / (2021-12-31),500,"15,851,946",100,8.072,"1,518,075,600",0.600
가온전선,000500,2021,12,전기전자,2.7,-,"5,000","4,160,347",420,28.204,"1,651,040,580",1.750
가온칩스,399720,2021,12,-,-,-,-,-,-,-,-,-
감성코퍼레이션,036620,2021,12,유통,0.36,-,500,"78,155,673",-,-,-,-
강남제비스코,000860,2021,12,화학,1.1,-,"1,000","6,500,000",500,6.850,"3,250,000,000",2.100
강스템바이오텍,217730,2021,12,제약,0.3,-,500,"37,937,925",-,-,-,-
강원랜드,035250,2021,12,서비스업,0.43,-,500,"213,940,500",-,-,-,-
강원에너지,114190,2021,12,금속,0.87,-,500,"26,123,038",-,-,-,-
갤럭시아머니트리,094480,2021,12,소프트웨어,0.32,-,500,"39,229,838",45,-621.261,"1,751,954,650",0.300
갤럭시아에스엠,011420,2021,12,서비스업,0.43,-,500,"27,549,644",-,-,-,-
경남스틸,039240,2021,12,금속,0.87,-,100,"25,000,000",100,40.790 *,"2,500,000,000",2.300
경남제약,053950,2021,12,제약,0.3,-,500,"20,049,565",-,-,-,-
경농,002100,2021,12,화학,1.1,-,500,"19,522,575",350,38.817,"6,252,627,500",2.900
경동나비엔,009450,2021,12,전기전자,2.7,-,"1,000","14,568,592",450,8.063,"6,503,819,400",0.840
경동도시가스,267290,2021,12,전기가스업,4.22,-,"2,500","5,895,406",875,23.268,"5,154,123,625",3.700
경동인베스트,012320,2021,12,금융업,2.61,-,"5,000","2,365,023",750,11.772,"1,635,264,000",2.100
경동제약,011040,2021,12,제약,0.3,-,500,"30,768,766",500,108.045,"13,642,885,000",4.200
경방,000050,2021,12,유통업,1.59,-,500,"27,415,270",125,14.051,"3,130,605,000",0.910
경보제약,214390,2021,12,의약품,0.12,-,500,"23,906,860",50,-15.949 *,"1,195,343,000",0.500
경인양행,012610,2021,12,화학,1.1,-,500,"41,576,365",50,7.622,"2,073,838,250",0.700
경인전자,009140,2021,12,전기전자,2.7,-,"5,000","1,570,797",250,8.793,"325,346,750",0.700
경창산업,024910,2021,12,운송장비·부품,0.36,-,500,"35,819,005",-,-,-,-
계룡건설산업,013580,2021,12,건설업,1.63,-,"5,000","8,930,907",800,4.530,"7,086,237,600",2.400
계양전기,012200,2021,12,기계,0.76,-,500,"32,600,000",-,-,-,-
고려산업,002140,2021,12,음식료품,1.34,-,"1,000","24,939,425",40,21.828,"986,856,800",1.400
고려시멘트,198440,2021,12,비금속,0.88,-,100,"31,979,960",15,10.341 *,"479,699,400",0.400
고려신용정보,049720,2021,12,기타서비스,0.5,-,500,"14,300,000",300,42.366,"4,173,484,800",3.500
고려아연,010130,2021,12,철강금속,2.09,-,"5,000","18,870,000","20,000",43.581,"353,484,800,000",3.750
고려제강,002240,2021,12,철강금속,2.09,-,"1,000","23,000,000",300,5.314,"6,897,608,100",1.500
고려제약,014570,2021,12,제약,0.3,-,500,"11,000,000",170,20.274 *,"1,833,204,350",1.900
고바이오랩,348150,2021,12,기타서비스,0.5,-,500,"16,270,559",-,-,-,-
고영,098460,2021,12,기계·장비,0.53,-,100,"68,654,755",120,20.492,"8,112,043,800",0.500
골드앤에스,035290,2021,12,출판·매체복제,0.32,-,500,"36,223,910",-,-,-,-
골드퍼시픽,038530,2021,12,유통,0.36,-,500,"83,267,529",-,-,-,-
골든센츄리,900280,2021,12,-,-,-,0,"176,573,591",-,-,-,-
골프존,215000,2021,12,소프트웨어,0.32,-,500,"6,275,415","3,500",28.719,"21,953,645,000",2.100
골프존뉴딘홀딩스,121440,2021,12,유통,0.36,-,500,"42,836,818",140,4.406,"5,986,288,280",1.600
골프존데카,183410,2021,12,-,-,-,500,"4,111,161",-,-,-,-
공구우먼,366030,2021,12,-,-,-,-,-,"2,400",68.969 *,"6,044,400,000",-
관악산업,076340,2021,12,-,-,-,500,"4,871,460",100,7.470,"486,961,100",1.200
광동제약,009290,2021,12,의약품,0.12,-,"1,000","52,420,851",100,16.084,"4,108,061,200",1.350
광림,014200,2021,12,운송장비·부품,0.36,-,500,"74,564,624",-,-,-,-
