,cor_name,sales,profit,shares_to_pub,sub_rate,cor_rate,obligation,score,sum,t_score,market_type,listed_date,current_price,offer_price,h_exp_offer_price,l_exp_offer_price,target,st_price,end_price,search_amt,Trend
141,드림씨아이에스,19200,3417,1.0,669.22,926.11,6.82,7,36,0.1939999999999999,0,20200522,14100,14900,13000,14900,30500,28000,87.92,-0.021,0.75
142,엔피디,259266,8574,1.0,32.65,307.5,8.78,-5,28,-0.179,0,20200316,2565,5400,5400,6300,3775,4860,-10.0,-0.032,0.86
143,플레이디,34711,6038,1.0,864.8,1270.7,7.55,-7,44,-0.159,0,20200312,5910,8500,6800,7700,8800,11250,32.35,0.108,0.83
144,서울바이오시스,368194,5857,1.0,942.7,1119.0,10.5,-1,24,-0.042,0,20200306,7720,7500,6500,7500,11100,13000,73.33,-0.06,0.8
145,제이앤티씨,229357,28114,1.0,3.48,1077.88,6.72,-3,37,-0.081,0,20200304,5230,11000,8500,10500,10350,10200,-7.27,-0.121,1.0
146,켄코아에어로스페이스,28937,-9409,0.83,256.68,120.75,2.55,8,28,0.286,0,20200303,11800,10000,13000,15000,10250,11500,15.0,-0.117,1.0
147,레몬,31438,-2377,1.0,800.07,426.0,6.3,-5,71,-0.07,0,20200228,5990,7200,6200,7200,10400,8620,19.72,0.192,1.0
148,서남,4854,-1449,1.0,881.6,1228.4,5.21,-5,73,-0.068,0,20200220,2920,3100,2700,3100,4750,3900,25.81,0.173,1.0
149,위세아이텍,16549,1505,1.0,1076.62,1105.93,6.95,8,13,0.615,0,20200210,11800,12000,10000,11200,12400,13900,15.83,0.026,0.73
150,피피아이,38120,2549,1.0,1147.7,997.33,2.47,4,23,0.174,0,20191226,2895,7000,6000,7000,9630,11000,57.14,-0.033,0.72
151,메탈라이프,19270,3742,1.0,1397.97,1288.21,22.46,3,29,0.103,0,20191224,11400,13000,10500,13000,33800,26000,100.0,-0.096,0.7
152,신테카바이오,287,-3747,1.0,123.2,75.61,1.32,5,49,0.102,0,20191217,11050,12000,15000,19000,16700,14950,24.58,0.314,0.7
153,태웅로직스,24394,7318,1.0,618.52,1024.98,2.53,4,24,0.1669999999999999,0,20191210,5140,4500,3700,4500,6110,8170,81.56,-0.047,0.72
154,코리아센터,189670,4874,0.9,4.13,37.77,6.04,5,57,0.088,0,20191129,5490,18000,24000,27200,22850,23000,27.78,-0.134,0.7
155,노터스,36308,3747,1.0,22.31,699.46,0.59,10,30,0.3329999999999999,0,20191127,6980,20000,17000,20000,36500,29750,48.75,-0.122,0.68
156,코리아에셋투자증권,165962,5507,1.0,231.78,945.66,2.25,2,30,0.067,0,20191120,9970,10000,8000,10000,8290,9900,-1.0,0.7,0.78
157,씨에스베어링,50364,3232,0.6,699.67,1246.86,4.65,5,32,0.156,0,20191121,10150,8400,7400,8400,8950,8400,0.0,0.137,0.74
158,에스제이그룹,68630,3531,1.0,512.93,946.62,13.56,2,14,0.143,0,20191118,21650,38600,32000,38600,46400,43500,12.69,-0.219,0.73
159,아이티엠반도체,228237,18159,0.91,321.09,1078.5,15.8,6,32,0.188,0,20191107,34200,26000,23000,26000,24700,26750,2.88,-0.034,0.91
160,티라유텍,22771,1525,1.0,1164.16,1240.9,11.9,4,33,0.121,0,20191031,9160,12050,10550,12050,20650,24100,100.0,0.191,0.88
161,미디어젠,13383,-533,1.0,573.16,576.27,1.88,7,23,0.304,0,20191105,9970,10600,9400,10600,9150,11250,6.13,-0.101,0.89
162,캐리소프트,9969,-2189,1.0,1067.0,924.83,2.7,1,42,0.024,0,20191029,7030,9000,7000,9000,13850,12100,34.44,0.069,0.83
163,케이엔제이,51107,1698,1.0,1104.68,1144.3,5.5,12,37,0.324,0,20191025,11450,11000,8400,11000,14900,15700,42.73,-0.024,0.8
164,엔바이오니아,8545,648,1.0,910.32,425.8,3.8,9,38,0.237,0,20191024,9020,8200,8200,10300,12100,10700,30.49,-0.097,0.75
165,팜스빌,19833,4815,0.86,674.04,1035.53,7.05,9,34,0.265,0,20191022,12800,14000,11000,14000,14350,16800,20.0,-0.005,0.67
166,라온피플,21764,6250,1.0,2.07,330.36,1.5,10,29,0.345,0,20191018,6860,14000,14000,17000,15550,13300,-5.0,-0.162,1.0
167,아톤,28033,4096,0.8,653.96,810.88,9.5,6,31,0.1939999999999999,0,20191017,30250,43000,30000,43000,42850,46050,7.09,-0.162,1.0
168,녹십자웰빙,53883,5678,1.0,657.66,657.93,4.49,12,45,0.267,0,20191014,8150,11300,9400,11300,12500,11900,5.31,-0.132,0.64
