,cor_name,cor_rate,obligation
628,동양파일,12.56:1,0.00%
629,대림씨엔에스,85.25:1,15.90%
630,팬젠,614.46:1,14.04%
631,하이에이아이스팩1호,,0.00%
632,IBKS스팩4호,,0.00%
633,에이피위성통신,271.55:1,7.80%
634,케이비스팩9호,,0.00%
635,큐리언트,709.15:1,35.24%
636,안트로젠,531.1:1,30.60%
637,제이에스코퍼레이션,433.6:1,35.90%
638,아이엠텍,112.3:1,25.00%
639,차이나크리스탈신소재,36.30:1,0.90%
640,유니트론텍,455.80:1,21.70%
641,한솔씨앤피,136.97:1,5.97%
642,에스와이패널,4.88:1,0.00%
643,코리아오토글라스,57.68:1,4.47%
644,육일씨엔에쓰,8.74:1,0.00%
645,코디엠,39.79:1,2.51%
646,대신밸런스스팩2호,,0.00%
647,이에스브이,23.29:1,2.38%
648,잇츠스킨,11.53:1,8.70%
649,아진산업,11.61:1,8.70%
650,휴젤,6.7:1,8.61%
651,한국맥널티,60.5:1,0.20%
652,덱스터,255.31:1,33.10%
653,메가엠디,16.67:1,7.50%
654,씨트리,4.7:1,0.60%
655,강스템바이오텍,11.35:1,0.00%
656,동부스팩4호,,0.00%
657,파크시스템스,50.29:1,57.30%
658,보광산업,15.47,0.00%
659,예스티,32.90:1,73.30%
660,뉴트리바이오텍,93.92:1,28.32%
661,멕아이씨에스,3.77:1,0.00%
662,하나금융스팩7호,,0.00%
663,엔에스,179.61:1,21.42%
664,세진중공업,8.89:1,26.50%
665,미래테크놀로지,117.30:1,5.70%
666,엠지메드,715.39:1,14.86%
667,매직마이크로,75.03:1,1.33%
668,케이디켐,66.20:1,3.00%
669,하이즈항공,47.27:1,0.89%
670,리드,42.89:1,7.00%
671,네오오토,113.08:1,3.54%
672,골든브릿지스팩4호,,0.00%
673,아이진,408.1:1,7.50%
674,나무가,108.34:1,3.62%
675,유앤아이,377.40:1,4.00%
676,케어젠,833.46,62.00%
677,금호에이치티,46.05:1,8.00%
678,에이치엠씨스팩3호,,0.00%
679,제주항공,378.67:1,77.99%
680,더블유게임즈,413.82:1,14.66%
681,연우,317:1,51.00%
682,키움스팩4호,,0.00%
683,현대드림스팩4호,,0.00%
684,에이티젠,695.7:1,40.60%
685,엑시콘,28.34:1,0.00%
686,이베스트스팩3호,,0.00%
687,에치디프로,362.84:1,6.21%
688,IBKS스팩3호,,0.00%
689,엘아이지넥스원,121.11:1,21.50%
690,동부스팩3호,,0.00%
691,신영해피투모로우2호스팩,,0.00%
692,타이거일렉,230.02:1,1.36%
693,동일제강,309.7:1,3.10%
694,엔에이치스팩9호,,0.00%
695,제너셈,326.77:1,4.15%
696,인포마크,251.2:1,12.00%
697,아이콘트롤스,272.96:1,29.10%
698,유진스팩3호,,0.00%
699,한국스팩3호,,0.00%
700,케이티비스팩3호,,0.00%
701,교보스팩5호,,0.00%
702,웹스,438.83:1,33.54%
703,현대드림스팩3호,,0.00%
704,에이제이네트웍스,197.15:1,20.06%
